,created_on,operation,property_type,place_with_parent_names,lat-lon,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,rooms,properati_url,comuna,barrio_cod,rooms_mean,operation_sell,place_with_parent_names_|Argentina|Capital Federal|,place_with_parent_names_|Argentina|Capital Federal|Abasto|,place_with_parent_names_|Argentina|Capital Federal|Agronomía|,place_with_parent_names_|Argentina|Capital Federal|Almagro|,place_with_parent_names_|Argentina|Capital Federal|Balvanera|,place_with_parent_names_|Argentina|Capital Federal|Barracas|,place_with_parent_names_|Argentina|Capital Federal|Barrio Norte|,place_with_parent_names_|Argentina|Capital Federal|Belgrano|,place_with_parent_names_|Argentina|Capital Federal|Boca|,place_with_parent_names_|Argentina|Capital Federal|Boedo|,place_with_parent_names_|Argentina|Capital Federal|Caballito|,place_with_parent_names_|Argentina|Capital Federal|Catalinas|,place_with_parent_names_|Argentina|Capital Federal|Centro / Microcentro|,place_with_parent_names_|Argentina|Capital Federal|Chacarita|,place_with_parent_names_|Argentina|Capital Federal|Coghlan|,place_with_parent_names_|Argentina|Capital Federal|Colegiales|,place_with_parent_names_|Argentina|Capital Federal|Congreso|,place_with_parent_names_|Argentina|Capital Federal|Constitución|,place_with_parent_names_|Argentina|Capital Federal|Floresta|,place_with_parent_names_|Argentina|Capital Federal|Flores|,place_with_parent_names_|Argentina|Capital Federal|Las Cañitas|,place_with_parent_names_|Argentina|Capital Federal|Liniers|,place_with_parent_names_|Argentina|Capital Federal|Mataderos|,place_with_parent_names_|Argentina|Capital Federal|Monserrat|,place_with_parent_names_|Argentina|Capital Federal|Monte Castro|,place_with_parent_names_|Argentina|Capital Federal|Nuñez|,place_with_parent_names_|Argentina|Capital Federal|Once|,place_with_parent_names_|Argentina|Capital Federal|Palermo|,place_with_parent_names_|Argentina|Capital Federal|Palermo|Palermo Chico|,place_with_parent_names_|Argentina|Capital Federal|Palermo|Palermo Hollywood|,place_with_parent_names_|Argentina|Capital Federal|Palermo|Palermo Soho|,place_with_parent_names_|Argentina|Capital Federal|Palermo|Palermo Viejo|,place_with_parent_names_|Argentina|Capital Federal|Parque Avellaneda|,place_with_parent_names_|Argentina|Capital Federal|Parque Centenario|,place_with_parent_names_|Argentina|Capital Federal|Parque Chacabuco|,place_with_parent_names_|Argentina|Capital Federal|Parque Chas|,place_with_parent_names_|Argentina|Capital Federal|Parque Patricios|,place_with_parent_names_|Argentina|Capital Federal|Paternal|,place_with_parent_names_|Argentina|Capital Federal|Pompeya|,place_with_parent_names_|Argentina|Capital Federal|Puerto Madero|,place_with_parent_names_|Argentina|Capital Federal|Recoleta|,place_with_parent_names_|Argentina|Capital Federal|Retiro|,place_with_parent_names_|Argentina|Capital Federal|Saavedra|,place_with_parent_names_|Argentina|Capital Federal|San Cristobal|,place_with_parent_names_|Argentina|Capital Federal|San Nicolás|,place_with_parent_names_|Argentina|Capital Federal|San Telmo|,place_with_parent_names_|Argentina|Capital Federal|Tribunales|,place_with_parent_names_|Argentina|Capital Federal|Velez Sarsfield|,place_with_parent_names_|Argentina|Capital Federal|Versalles|,place_with_parent_names_|Argentina|Capital Federal|Villa Crespo|,place_with_parent_names_|Argentina|Capital Federal|Villa Devoto|,place_with_parent_names_|Argentina|Capital Federal|Villa General Mitre|,place_with_parent_names_|Argentina|Capital Federal|Villa Lugano|,place_with_parent_names_|Argentina|Capital Federal|Villa Luro|,place_with_parent_names_|Argentina|Capital Federal|Villa Ortuzar|,place_with_parent_names_|Argentina|Capital Federal|Villa Pueyrredón|,place_with_parent_names_|Argentina|Capital Federal|Villa Real|,place_with_parent_names_|Argentina|Capital Federal|Villa Santa Rita|,place_with_parent_names_|Argentina|Capital Federal|Villa Urquiza|,place_with_parent_names_|Argentina|Capital Federal|Villa del Parque|,price_m2
57,2017-09-03,sell,0,|Argentina|Capital Federal|Palermo|,"-34.5933965,-58.4284618",-34.593396500000004,-58.4284618,154000.0,58.0,58.0,2655.172413793104,3.0,https://www.properati.com.ar/1ea8d_venta_ph_palermo_parrilla_patio_apto-credito-hipotecario_migliorisi-propiedades_dkd,14.0,20,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2655.1724137931033
58,2017-09-04,sell,2,|Argentina|Capital Federal|Palermo|,"-34.567097,-58.436086",-34.567097,-58.436086,594900.0,208.0,190.0,2860.0961538461547,6.0,https://www.properati.com.ar/1eado_venta_casa_palermo_balcon_baulera_suite_lavadero_terraza_luminoso_placard_re-max-liberty-ii,14.0,20,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2860.096153846154
59,2017-09-04,sell,1,|Argentina|Capital Federal|Palermo|,"-34.584294,-58.436469",-34.584294,-58.436469,80119.0,39.0,34.0,2054.333333333333,1.0,https://www.properati.com.ar/1eagn_venta_departamento_palermo_balcon_baulera_hidromasaje_lavadero_parrilla_sotano_terraza_amenities_re-max-premium,14.0,20,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054.3333333333335
60,2017-09-04,sell,1,|Argentina|Capital Federal|Palermo|,"-34.584294,-58.436469",-34.584294,-58.436469,95085.0,43.0,37.0,2211.279069767442,1.0,https://www.properati.com.ar/1eago_venta_departamento_palermo_balcon_baulera_hidromasaje_lavadero_parrilla_sotano_terraza_amenities_re-max-premium,14.0,20,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211.279069767442
61,2017-09-04,sell,1,|Argentina|Capital Federal|Palermo|,"-34.5972454,-58.4201324",-34.5972454,-58.4201324,140000.0,53.0,50.0,2641.509433962264,2.0,https://www.properati.com.ar/1eaqv_venta_departamento_palermo_lavadero_parrilla_piscina_subte-linea-b_grinspon,14.0,20,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2641.509433962264
63,2017-09-04,sell,1,|Argentina|Capital Federal|Palermo|,"-34.5711496,-58.4232966",-34.571149600000005,-58.4232966,190000.0,66.0,61.0,2878.787878787879,2.0,https://www.properati.com.ar/1eaqz_venta_departamento_palermo_gimnasio_hidromasaje_lavadero_parrilla_piscina_quincho_sum_vista_lujoso_garage_amenities_grinspon,14.0,20,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2878.787878787879
64,2017-09-04,sell,1,|Argentina|Capital Federal|Palermo|,"-34.5972454,-58.4201324",-34.5972454,-58.4201324,105000.0,40.0,38.0,2625.0,1.0,https://www.properati.com.ar/1ear5_venta_departamento_palermo_lavadero_piscina_subte-linea-b_grinspon,14.0,20,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625.0
65,2017-09-04,sell,1,|Argentina|Capital Federal|Las Cañitas|,"-34.5711496,-58.4232966",-34.571149600000005,-58.4232966,640000.0,260.0,240.0,2461.538461538461,5.0,https://www.properati.com.ar/1eat5_venta_departamento_las-canitas_balcon_suite_lavadero_vestidor_garage_grinspon,14.0,20,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2461.5384615384614
67,2017-09-05,sell,1,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,"-34.5830704,-58.4241896",-34.5830704,-58.42418960000001,483000.0,214.0,202.0,2257.009345794393,6.989255864474779,https://www.properati.com.ar/1eb46_venta_departamento_palermo-hollywood_balcon_dependencias_impecable_doble-circulacion_abiti-proyectos-inmobiliarios_h8k,14.0,20,6.989255864474779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257.0093457943926
70,2017-09-05,sell,0,|Argentina|Capital Federal|Palermo|,"-34.5960323,-58.4213575",-34.5960323,-58.42135749999999,270000.0,106.0,80.0,2547.169811320755,4.0,https://www.properati.com.ar/1eb7e_venta_ph_palermo_patio_luminoso_garage_placard_lugaren,14.0,20,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547.169811320755
